price_date,ticker,price,price_std
2016-09-29,DVA,65.46,1.1558
2016-10-27,DVA,55.93,2.542
2016-11-22,DVA,63.03,1.6918
2016-12-01,DVA,64.59,1.5394
2017-01-31,DVA,63.75,0.6316
2017-03-06,DVA,69.42,1.9865
2017-03-07,DVA,68.13,1.7252
2017-03-08,DVA,68.26,1.3934
2017-03-17,DVA,67.8,0.7339
2017-03-20,DVA,67.41,0.7984
2017-05-08,DVA,65.39,1.5355
2017-05-18,DVA,64.1,2.005
2017-06-01,DVA,67.42,1.3429
2017-07-11,DVA,63.36,0.7757
2017-07-12,DVA,63.88,0.7746
2017-07-14,DVA,64.7,0.703
2017-07-19,DVA,65.41,0.8956
2017-08-16,DVA,57.34,2.9524
2017-08-22,DVA,56.78,0.6232
2017-08-29,DVA,57.07,0.382
2017-08-30,DVA,57.52,0.3745
2017-09-14,DVA,59.71,1.1638
2017-09-21,DVA,61.26,1.3459
2017-10-17,DVA,56.49,2.6782
2017-10-30,DVA,61.07,3.0307
2018-01-11,DVA,80.03,2.6846
2018-01-22,DVA,78.95,2.4279
2013-03-07,DVN,55.79,2.1427
2013-03-28,DVN,56.42,0.7441
2013-06-07,DVN,56.85,1.2464
2013-06-13,DVN,55.04,1.2939
2013-06-21,DVN,53.43,1.3067
2013-07-05,DVN,54.56,1.0861
2013-07-11,DVN,55.97,1.374
2013-07-12,DVN,55.65,1.4736
2013-08-13,DVN,57.55,1.2756
2013-08-15,DVN,58.02,1.3734
2013-08-27,DVN,56.96,0.7901
2013-09-16,DVN,58.11,0.8303
2013-09-27,DVN,58.71,0.5428
2013-09-30,DVN,57.76,0.6504
2013-10-04,DVN,58.92,0.6865
2013-11-26,DVN,61.27,1.1491
2013-11-29,DVN,60.62,1.0644
2013-12-10,DVN,60.82,0.8133
2013-12-20,DVN,60.94,0.7632
2014-01-07,DVN,61.48,0.7546
2014-01-14,DVN,59.78,0.7795
2014-01-15,DVN,59.21,0.8993
2014-02-07,DVN,61.02,0.8068
2014-03-11,DVN,63.55,0.4559
2014-03-17,DVN,62.8,0.8185
2014-03-19,DVN,63.46,0.8199
2014-04-16,DVN,69.86,0.9304
2014-04-21,DVN,70.5,1.0649
2014-04-24,DVN,71.91,1.5231
2014-05-22,DVN,72.71,1.0895
2014-06-06,DVN,74.67,1.0367
2014-06-17,DVN,78.12,1.6619
2014-06-25,DVN,79.46,1.6521
2014-08-08,DVN,74.38,1.8526
2014-08-19,DVN,74.28,1.1575
2014-09-04,DVN,72.31,0.7554
2014-10-02,DVN,66.56,1.6186
2014-10-10,DVN,59.42,3.3389
2014-10-16,DVN,56.54,5.0031
2014-10-28,DVN,59.58,1.9032
2014-12-09,DVN,57.2,3.6122
2014-12-12,DVN,53.01,4.0136
2014-12-19,DVN,61.31,3.1445
2015-01-06,DVN,57.5,2.0417
2015-01-09,DVN,60.41,1.3042
2015-01-21,DVN,61.6,1.3497
2015-01-23,DVN,60.16,1.3023
2015-01-29,DVN,58.72,1.3914
2015-03-10,DVN,56.99,2.5562
2015-05-08,DVN,67.89,1.1815
2015-05-22,DVN,67.47,0.9135
2015-06-09,DVN,62.12,1.6877
2015-06-19,DVN,60.97,1.129
2015-07-15,DVN,54.84,1.8706
2015-07-17,DVN,53.64,1.681
2015-08-05,DVN,46.95,1.7582
2015-10-06,DVN,43.75,2.2016
2015-10-14,DVN,44.65,3.3881
2015-10-22,DVN,44.75,0.9732
2015-11-19,DVN,45.98,1.2222
2015-11-20,DVN,45.25,0.923
2015-12-15,DVN,31.87,5.5293
2015-12-30,DVN,31.0,1.9744
2016-01-06,DVN,30.21,1.5726
2016-01-14,DVN,25.96,2.8915
2016-02-08,DVN,23.68,1.7024
2016-03-22,DVN,28.01,2.2848
2016-03-28,DVN,25.84,2.0928
2016-03-29,DVN,26.09,1.761
2016-06-02,DVN,36.81,1.2476
2016-06-28,DVN,35.99,1.4589
2016-08-03,DVN,38.0,0.9384
2016-09-26,DVN,39.64,1.727
2016-09-29,DVN,43.04,1.3336
2016-10-27,DVN,40.46,1.4553
2016-11-22,DVN,44.48,1.5106
2016-12-01,DVN,47.85,1.9251
2017-01-31,DVN,45.54,0.6082
2017-03-06,DVN,43.94,0.8251
2017-03-07,DVN,43.56,0.6099
2017-03-08,DVN,40.72,1.0156
2017-03-17,DVN,40.54,1.6326
2017-03-20,DVN,40.54,1.6203
2017-05-08,DVN,38.16,1.0169
2017-05-18,DVN,36.9,0.6519
2017-06-01,DVN,34.27,1.5574
2017-07-11,DVN,30.53,0.9152
2017-07-12,DVN,30.81,0.9012
2017-07-14,DVN,31.65,0.9001
2017-07-19,DVN,32.5,0.9593
2017-08-16,DVN,30.66,0.9724
2017-08-22,DVN,30.4,1.0206
2017-08-29,DVN,30.99,0.4636
2017-08-30,DVN,30.96,0.3925
2017-09-14,DVN,33.9,0.9274
2017-09-21,DVN,35.35,1.1884
2017-10-17,DVN,35.73,0.3738
2017-10-30,DVN,36.0,0.5722
2018-01-11,DVN,43.07,0.7388
2018-01-22,DVN,44.81,0.6852
2013-03-07,EA,18.71,0.4916
2013-03-28,EA,17.7,0.7687
2013-06-07,EA,23.61,0.5848
2013-06-13,EA,21.49,0.6173
2013-06-21,EA,21.975,0.6441
2013-07-05,EA,23.83,0.7161
2013-07-11,EA,24.27,0.9055
2013-07-12,EA,24.32,0.9255
2013-08-13,EA,26.55,0.5748
2013-08-15,EA,26.48,0.3276
2013-08-27,EA,26.99,0.5228
2013-09-16,EA,26.96,0.4492
2013-09-27,EA,25.95,0.4194
2013-09-30,EA,25.55,0.5012
2013-10-04,EA,25.76,0.6585
2013-11-26,EA,22.52,1.4629
2013-11-29,EA,22.17,1.5879
2013-12-10,EA,22.06,0.6318
2013-12-20,EA,23.54,0.8173
2014-01-07,EA,23.1,0.441
2014-01-14,EA,22.46,0.4265
2014-01-15,EA,21.93,0.4333
2014-02-07,EA,27.2,1.1105
2014-03-11,EA,29.8,0.627
2014-03-17,EA,30.1,0.6377
2014-03-19,EA,30.23,0.644
2014-04-16,EA,27.59,0.8416
2014-04-21,EA,27.98,0.8172
2014-04-24,EA,28.1,0.5767
2014-05-22,EA,34.57,2.2636
2014-06-06,EA,34.85,0.212
2014-06-17,EA,36.79,0.5957
2014-06-25,EA,36.51,0.8346
2014-08-08,EA,34.29,1.4352
2014-08-19,EA,37.01,1.2963
2014-09-04,EA,37.36,0.5548
2014-10-02,EA,35.59,0.6294
2014-10-10,EA,34.53,0.6494
2014-10-16,EA,32.62,1.2036
2014-10-28,EA,37.48,1.5343
2014-12-09,EA,45.58,1.3255
2014-12-12,EA,44.895,1.1786
2014-12-19,EA,47.455,1.0198
2015-01-06,EA,45.96,0.8522
2015-01-09,EA,47.51,0.6682
2015-01-21,EA,48.07,0.6828
2015-01-23,EA,49.79,1.1104
2015-01-29,EA,55.33,2.7538
2015-03-10,EA,55.05,0.7128
2015-05-08,EA,61.88,0.9529
2015-05-22,EA,62.56,1.1669
2015-06-09,EA,61.78,0.5859
2015-06-19,EA,65.95,1.3011
2015-07-15,EA,72.5,2.4104
2015-07-17,EA,73.47,2.6178
2015-08-05,EA,75.16,1.2797
2015-10-06,EA,66.55,1.6676
2015-10-14,EA,70.57,1.5205
2015-10-22,EA,74.54,3.0453
2015-11-19,EA,71.08,1.9567
2015-11-20,EA,72.42,1.9754
2015-12-15,EA,72.33,1.7468
2015-12-30,EA,69.65,1.631
2016-01-06,EA,63.68,2.2451
2016-01-14,EA,64.48,2.6922
2016-02-08,EA,56.32,5.3911
2016-03-22,EA,63.87,0.829
2016-03-28,EA,64.64,0.8149
2016-03-29,EA,66.03,0.8004
2016-06-02,EA,76.58,1.249
2016-06-28,EA,72.6,1.3139
2016-08-03,EA,78.63,0.8497
2016-09-26,EA,83.5,1.2992
2016-09-29,EA,84.26,1.4273
2016-10-27,EA,82.72,0.8066
2016-11-22,EA,77.75,1.5914
2016-12-01,EA,75.58,1.4438
2017-01-31,EA,83.43,1.4967
2017-03-06,EA,87.14,0.5608
2017-03-07,EA,88.3,0.5479
2017-03-08,EA,89.0,0.6955
2017-03-17,EA,89.59,1.6146
2017-03-20,EA,89.16,1.4577
2017-05-08,EA,95.73,1.7439
2017-05-18,EA,106.93,7.2409
2017-06-01,EA,113.87,2.786
2017-07-11,EA,108.42,2.6084
2017-07-12,EA,110.68,2.3402
2017-07-14,EA,108.99,1.8703
2017-07-19,EA,111.58,1.9539
2017-08-16,EA,119.25,1.327
2017-08-22,EA,119.03,1.4054
2017-08-29,EA,119.23,1.4978
